"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
1,7,16,1977,2,"NL","M","32","","Neotoma","albigula","Rodent","Control"
72,8,19,1977,2,"NL","M","31","","Neotoma","albigula","Rodent","Control"
224,9,13,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
266,10,16,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
349,11,12,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
363,11,12,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
435,12,10,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
506,1,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
588,2,18,1978,2,"NL","M","","218","Neotoma","albigula","Rodent","Control"
661,3,11,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
748,4,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
845,5,6,1978,2,"NL","M","32","204","Neotoma","albigula","Rodent","Control"
990,6,9,1978,2,"NL","M","","200","Neotoma","albigula","Rodent","Control"
1164,8,5,1978,2,"NL","M","34","199","Neotoma","albigula","Rodent","Control"
1261,9,4,1978,2,"NL","M","32","197","Neotoma","albigula","Rodent","Control"
1374,10,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
1453,11,5,1978,2,"NL","M","","218","Neotoma","albigula","Rodent","Control"
1756,4,29,1979,2,"NL","M","33","166","Neotoma","albigula","Rodent","Control"
1818,5,30,1979,2,"NL","M","32","184","Neotoma","albigula","Rodent","Control"
1882,7,4,1979,2,"NL","M","32","206","Neotoma","albigula","Rodent","Control"
2133,10,25,1979,2,"NL","F","33","274","Neotoma","albigula","Rodent","Control"
2184,11,17,1979,2,"NL","F","30","186","Neotoma","albigula","Rodent","Control"
2406,1,16,1980,2,"NL","F","33","184","Neotoma","albigula","Rodent","Control"
2728,3,9,1980,2,"NL","F","","","Neotoma","albigula","Rodent","Control"
3000,5,18,1980,2,"NL","F","31","87","Neotoma","albigula","Rodent","Control"
3002,5,18,1980,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
4667,7,8,1981,2,"NL","F","30","130","Neotoma","albigula","Rodent","Control"
4859,10,1,1981,2,"NL","M","34","208","Neotoma","albigula","Rodent","Control"
5048,11,23,1981,2,"NL","M","34","192","Neotoma","albigula","Rodent","Control"
5180,1,1,1982,2,"NL","M","","206","Neotoma","albigula","Rodent","Control"
5299,1,25,1982,2,"NL","F","32","165","Neotoma","albigula","Rodent","Control"
5485,2,24,1982,2,"NL","M","34","202","Neotoma","albigula","Rodent","Control"
5558,3,29,1982,2,"NL","M","33","211","Neotoma","albigula","Rodent","Control"
5583,3,29,1982,2,"NL","M","31","120","Neotoma","albigula","Rodent","Control"
5966,5,22,1982,2,"NL","F","32","40","Neotoma","albigula","Rodent","Control"
6020,6,28,1982,2,"NL","M","33","222","Neotoma","albigula","Rodent","Control"
6023,6,28,1982,2,"NL","F","30","100","Neotoma","albigula","Rodent","Control"
6036,6,28,1982,2,"NL","F","33","120","Neotoma","albigula","Rodent","Control"
6167,7,25,1982,2,"NL","M","","219","Neotoma","albigula","Rodent","Control"
6479,8,16,1982,2,"NL","F","31","112","Neotoma","albigula","Rodent","Control"
6500,8,16,1982,2,"NL","F","33","152","Neotoma","albigula","Rodent","Control"
8022,6,18,1983,2,"NL","F","30","126","Neotoma","albigula","Rodent","Control"
8263,8,16,1983,2,"NL","F","32","147","Neotoma","albigula","Rodent","Control"
8387,9,11,1983,2,"NL","F","32","138","Neotoma","albigula","Rodent","Control"
8394,9,11,1983,2,"NL","F","32","161","Neotoma","albigula","Rodent","Control"
8407,9,11,1983,2,"NL","M","33","148","Neotoma","albigula","Rodent","Control"
8514,10,16,1983,2,"NL","F","32","151","Neotoma","albigula","Rodent","Control"
8543,10,16,1983,2,"NL","F","31","175","Neotoma","albigula","Rodent","Control"
8657,11,13,1983,2,"NL","F","32","158","Neotoma","albigula","Rodent","Control"
8675,11,13,1983,2,"NL","F","32","164","Neotoma","albigula","Rodent","Control"
8755,12,9,1983,2,"NL","F","32","150","Neotoma","albigula","Rodent","Control"
9048,4,10,1984,2,"NL","F","32","157","Neotoma","albigula","Rodent","Control"
9132,5,13,1984,2,"NL","M","32","125","Neotoma","albigula","Rodent","Control"
9270,5,28,1984,2,"NL","M","33","125","Neotoma","albigula","Rodent","Control"
9349,7,4,1984,2,"NL","M","35","130","Neotoma","albigula","Rodent","Control"
9512,8,26,1984,2,"NL","F","31","151","Neotoma","albigula","Rodent","Control"
9605,9,30,1984,2,"NL","F","32","173","Neotoma","albigula","Rodent","Control"
9703,10,21,1984,2,"NL","M","30","126","Neotoma","albigula","Rodent","Control"
10606,7,24,1985,2,"NL","F","30","91","Neotoma","albigula","Rodent","Control"
10617,7,24,1985,2,"NL","M","32","186","Neotoma","albigula","Rodent","Control"
10627,7,24,1985,2,"NL","F","32","174","Neotoma","albigula","Rodent","Control"
10720,8,20,1985,2,"NL","F","31","106","Neotoma","albigula","Rodent","Control"
10923,10,13,1985,2,"NL","F","31","136","Neotoma","albigula","Rodent","Control"
10949,10,13,1985,2,"NL","F","33","148","Neotoma","albigula","Rodent","Control"
11215,12,8,1985,2,"NL","F","32","160","Neotoma","albigula","Rodent","Control"
11329,3,9,1986,2,"NL","M","34","240","Neotoma","albigula","Rodent","Control"
11496,5,11,1986,2,"NL","F","31","163","Neotoma","albigula","Rodent","Control"
11498,5,11,1986,2,"NL","F","31","82","Neotoma","albigula","Rodent","Control"
11611,6,5,1986,2,"NL","F","32","110","Neotoma","albigula","Rodent","Control"
11628,6,5,1986,2,"NL","M","34","227","Neotoma","albigula","Rodent","Control"
11709,7,4,1986,2,"NL","F","31","184","Neotoma","albigula","Rodent","Control"
11877,9,7,1986,2,"NL","M","34","202","Neotoma","albigula","Rodent","Control"
11879,9,7,1986,2,"NL","F","32","135","Neotoma","albigula","Rodent","Control"
11887,9,7,1986,2,"NL","M","33","177","Neotoma","albigula","Rodent","Control"
11953,10,5,1986,2,"NL","M","33","221","Neotoma","albigula","Rodent","Control"
12299,2,1,1987,2,"NL","M","32","253","Neotoma","albigula","Rodent","Control"
12458,3,2,1987,2,"NL","M","33","259","Neotoma","albigula","Rodent","Control"
12602,4,6,1987,2,"NL","M","34","260","Neotoma","albigula","Rodent","Control"
12678,4,26,1987,2,"NL","M","30","79","Neotoma","albigula","Rodent","Control"
12708,4,26,1987,2,"NL","F","28","72","Neotoma","albigula","Rodent","Control"
12729,4,26,1987,2,"NL","M","32","270","Neotoma","albigula","Rodent","Control"
12756,5,28,1987,2,"NL","F","30","99","Neotoma","albigula","Rodent","Control"
12871,5,28,1987,2,"NL","M","32","278","Neotoma","albigula","Rodent","Control"
12997,7,1,1987,2,"NL","F","30","136","Neotoma","albigula","Rodent","Control"
13025,7,1,1987,2,"NL","M","33","260","Neotoma","albigula","Rodent","Control"
13114,7,26,1987,2,"NL","M","","269","Neotoma","albigula","Rodent","Control"
13275,8,26,1987,2,"NL","M","","","Neotoma","albigula","Rodent","Control"
13326,8,26,1987,2,"NL","F","32","146","Neotoma","albigula","Rodent","Control"
13434,9,27,1987,2,"NL","M","33","197","Neotoma","albigula","Rodent","Control"
13465,9,27,1987,2,"NL","F","32","167","Neotoma","albigula","Rodent","Control"
13476,9,27,1987,2,"NL","F","33","146","Neotoma","albigula","Rodent","Control"
13615,10,25,1987,2,"NL","M","34","203","Neotoma","albigula","Rodent","Control"
13630,10,25,1987,2,"NL","F","30","176","Neotoma","albigula","Rodent","Control"
13748,11,22,1987,2,"NL","M","34","214","Neotoma","albigula","Rodent","Control"
13977,1,24,1988,2,"NL","F","34","161","Neotoma","albigula","Rodent","Control"
14646,6,12,1988,2,"NL","F","34","148","Neotoma","albigula","Rodent","Control"
14740,7,15,1988,2,"NL","F","","","Neotoma","albigula","Rodent","Control"
14796,8,10,1988,2,"NL","M","34","188","Neotoma","albigula","Rodent","Control"
14804,8,10,1988,2,"NL","M","31","132","Neotoma","albigula","Rodent","Control"
14896,9,12,1988,2,"NL","M","34","161","Neotoma","albigula","Rodent","Control"
14984,10,9,1988,2,"NL","M","35","170","Neotoma","albigula","Rodent","Control"
15302,12,14,1988,2,"NL","M","35","248","Neotoma","albigula","Rodent","Control"
15780,3,13,1989,2,"NL","M","33","242","Neotoma","albigula","Rodent","Control"
16407,7,30,1989,2,"NL","F","33","97","Neotoma","albigula","Rodent","Control"
17230,2,25,1990,2,"NL","M","33","218","Neotoma","albigula","Rodent","Control"
17877,9,25,1990,2,"NL","F","","176","Neotoma","albigula","Rodent","Control"
17941,10,16,1990,2,"NL","F","33","195","Neotoma","albigula","Rodent","Control"
18110,12,15,1990,2,"NL","F","33","193","Neotoma","albigula","Rodent","Control"
18364,2,16,1991,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
18486,3,13,1991,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
18639,4,21,1991,2,"NL","F","33","126","Neotoma","albigula","Rodent","Control"
18678,5,13,1991,2,"NL","F","31","81","Neotoma","albigula","Rodent","Control"
18680,5,13,1991,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
18846,7,12,1991,2,"NL","M","33","154","Neotoma","albigula","Rodent","Control"
18948,8,7,1991,2,"NL","M","32","178","Neotoma","albigula","Rodent","Control"
19032,9,9,1991,2,"NL","M","31","180","Neotoma","albigula","Rodent","Control"
19245,11,13,1991,2,"NL","F","36","165","Neotoma","albigula","Rodent","Control"
20040,5,30,1992,2,"NL","F","36","220","Neotoma","albigula","Rodent","Control"
20089,7,3,1992,2,"NL","F","21","130","Neotoma","albigula","Rodent","Control"
20364,9,26,1992,2,"NL","F","32","114","Neotoma","albigula","Rodent","Control"
